"@timestamp","route_info.vid","route_info.location","route_info.timestamp"
"Apr 18, 2023 @ 22:03:20.335",DL1PC9997,"POINT (77.172563 28.666151)","Apr 18, 2023 @ 22:03:08.000"
"Apr 18, 2023 @ 22:02:04.569",DL1PC9997,"POINT (77.17685 28.66419)","Apr 18, 2023 @ 22:01:46.000"
"Apr 18, 2023 @ 22:00:50.961",DL1PC9997,"POINT (77.181963 28.662648)","Apr 18, 2023 @ 22:00:35.000"
"Apr 18, 2023 @ 21:59:20.253",DL1PC9997,"POINT (77.185164 28.66115)","Apr 18, 2023 @ 21:59:09.000"
"Apr 18, 2023 @ 21:58:19.766",DL1PC9997,"POINT (77.190016 28.65938)","Apr 18, 2023 @ 21:58:09.000"
"Apr 18, 2023 @ 21:57:05.071",DL1PC9997,"POINT (77.189446 28.65848)","Apr 18, 2023 @ 21:56:48.000"
"Apr 18, 2023 @ 21:55:33.240",DL1PC9997,"POINT (77.189081 28.65779)","Apr 18, 2023 @ 21:54:36.000"
"Apr 18, 2023 @ 21:54:20.321",DL1PC9997,"POINT (77.189098 28.657951)","Apr 18, 2023 @ 21:54:06.000"
"Apr 18, 2023 @ 21:53:15.678",DL1PC9997,"POINT (77.189005 28.657709)","Apr 18, 2023 @ 21:52:56.000"
"Apr 18, 2023 @ 21:52:04.084",DL1PC9997,"POINT (77.189053 28.657428)","Apr 18, 2023 @ 21:51:46.000"
"Apr 18, 2023 @ 21:50:23.093",DL1PC9997,"POINT (77.188805 28.657634)","Apr 18, 2023 @ 21:50:06.000"
"Apr 18, 2023 @ 21:49:20.499",DL1PC9997,"POINT (77.188831 28.65758)","Apr 18, 2023 @ 21:49:03.000"
"Apr 18, 2023 @ 21:48:17.889",DL1PC9997,"POINT (77.18865 28.657135)","Apr 18, 2023 @ 21:47:29.000"
"Apr 18, 2023 @ 21:46:25.667",DL1PC9997,"POINT (77.188789 28.657271)","Apr 18, 2023 @ 21:46:09.000"
"Apr 18, 2023 @ 21:45:20.465",DL1PC9997,"POINT (77.188541 28.65681)","Apr 18, 2023 @ 21:45:09.000"
"Apr 18, 2023 @ 21:44:20.373",DL1PC9997,"POINT (77.188023 28.65643)","Apr 18, 2023 @ 21:43:06.000"
"Apr 18, 2023 @ 21:43:20.275",DL1PC9997,"POINT (77.188023 28.65643)","Apr 18, 2023 @ 21:43:06.000"
"Apr 18, 2023 @ 21:42:20.322",DL1PC9997,"POINT (77.18803 28.656393)","Apr 18, 2023 @ 21:42:06.000"
"Apr 18, 2023 @ 21:41:17.808",DL1PC9997,"POINT (77.187736 28.655978)","Apr 18, 2023 @ 21:40:56.000"
"Apr 18, 2023 @ 21:40:03.269",DL1PC9997,"POINT (77.18811 28.655306)","Apr 18, 2023 @ 21:39:46.000"
"Apr 18, 2023 @ 21:38:46.372",DL1PC9997,"POINT (77.189451 28.654581)","Apr 18, 2023 @ 21:38:26.000"
"Apr 18, 2023 @ 21:37:19.059",DL1PC9997,"POINT (77.190786 28.65399)","Apr 18, 2023 @ 21:37:06.000"
"Apr 18, 2023 @ 21:36:17.574",DL1PC9997,"POINT (77.191368 28.653461)","Apr 18, 2023 @ 21:35:56.000"
"Apr 18, 2023 @ 21:35:15.876",DL1PC9997,"POINT (77.191343 28.65365)","Apr 18, 2023 @ 21:34:56.000"
